"subject","activity","variable","mean"
"1","1","WALKING","tBodyAcc.mean.X",0.277330758736842
"2","1","WALKING","tBodyAcc.mean.Y",-0.0173838185273684
"3","1","WALKING","tBodyAcc.mean.Z",-0.111148103547368
"4","1","WALKING","tBodyAcc.std.X",-0.283740258842105
"5","1","WALKING","tBodyAcc.std.Y",0.114461336747368
"6","1","WALKING","tBodyAcc.std.Z",-0.260027902210526
"7","1","WALKING","tGravityAcc.mean.X",0.935223201473684
"8","1","WALKING","tGravityAcc.mean.Y",-0.282165021263158
"9","1","WALKING","tGravityAcc.mean.Z",-0.068102864
"10","1","WALKING","tGravityAcc.std.X",-0.976609642526316
"11","1","WALKING","tGravityAcc.std.Y",-0.971305961473684
"12","1","WALKING","tGravityAcc.std.Z",-0.947717226105263
"13","1","WALKING","tBodyAccJerk.mean.X",0.0740416333157895
"14","1","WALKING","tBodyAccJerk.mean.Y",0.0282721095884211
"15","1","WALKING","tBodyAccJerk.mean.Z",-0.00416840617789474
"16","1","WALKING","tBodyAccJerk.std.X",-0.113615602435789
"17","1","WALKING","tBodyAccJerk.std.Y",0.0670025007684211
"18","1","WALKING","tBodyAccJerk.std.Z",-0.502699788526316
"19","1","WALKING","tBodyGyro.mean.X",-0.041830963526
"20","1","WALKING","tBodyGyro.mean.Y",-0.0695300462115789
"21","1","WALKING","tBodyGyro.mean.Z",0.0849448173042105
"22","1","WALKING","tBodyGyro.std.X",-0.473535485894737
"23","1","WALKING","tBodyGyro.std.Y",-0.0546077686594737
"24","1","WALKING","tBodyGyro.std.Z",-0.344266629473684
"25","1","WALKING","tBodyGyroJerk.mean.X",-0.0899975423705263
"26","1","WALKING","tBodyGyroJerk.mean.Y",-0.0398428709463158
"27","1","WALKING","tBodyGyroJerk.mean.Z",-0.0461309295021053
"28","1","WALKING","tBodyGyroJerk.std.X",-0.207421854757895
"29","1","WALKING","tBodyGyroJerk.std.Y",-0.304468510631579
"30","1","WALKING","tBodyGyroJerk.std.Z",-0.404255452631579
"31","1","WALKING","tBodyAccMag.mean",-0.136971176556842
"32","1","WALKING","tBodyAccMag.std",-0.219688645631579
"33","1","WALKING","tGravityAccMag.mean",-0.136971176556842
"34","1","WALKING","tGravityAccMag.std",-0.219688645631579
"35","1","WALKING","tBodyAccJerkMag.mean",-0.141428809031579
"36","1","WALKING","tBodyAccJerkMag.std",-0.0744717500625263
"37","1","WALKING","tBodyGyroMag.mean",-0.160979552536842
"38","1","WALKING","tBodyGyroMag.std",-0.186978364526316
"39","1","WALKING","tBodyGyroJerkMag.mean",-0.298703679084211
"40","1","WALKING","tBodyGyroJerkMag.std",-0.325324878894737
"41","1","WALKING","fBodyAcc.mean.X",-0.202794306326316
"42","1","WALKING","fBodyAcc.mean.Y",0.0897127264021053
"43","1","WALKING","fBodyAcc.mean.Z",-0.331560117789474
"44","1","WALKING","fBodyAcc.std.X",-0.319134719578947
"45","1","WALKING","fBodyAcc.std.Y",0.056040006846
"46","1","WALKING","fBodyAcc.std.Z",-0.279686751494737
"47","1","WALKING","fBodyAccJerk.mean.X",-0.170546964549579
"48","1","WALKING","fBodyAccJerk.mean.Y",-0.0352255241130632
"49","1","WALKING","fBodyAccJerk.mean.Z",-0.468999224631579
"50","1","WALKING","fBodyAccJerk.std.X",-0.133586606326316
"51","1","WALKING","fBodyAccJerk.std.Y",0.106739857136
"52","1","WALKING","fBodyAccJerk.std.Z",-0.534713440421053
"53","1","WALKING","fBodyGyro.mean.X",-0.339032197115789
"54","1","WALKING","fBodyGyro.mean.Y",-0.103059416434737
"55","1","WALKING","fBodyGyro.mean.Z",-0.255940940315789
"56","1","WALKING","fBodyGyro.std.X",-0.516691938736842
"57","1","WALKING","fBodyGyro.std.Y",-0.0335081597884211
"58","1","WALKING","fBodyGyro.std.Z",-0.436562227473684
"59","1","WALKING","fBodyAccMag.mean",-0.128623450629474
"60","1","WALKING","fBodyAccMag.std",-0.398032586842105
"61","1","WALKING","fBodyBodyAccJerkMag.mean",-0.0571194000343158
"62","1","WALKING","fBodyBodyAccJerkMag.std",-0.103492403002105
"63","1","WALKING","fBodyBodyGyroMag.mean",-0.199252568986316
"64","1","WALKING","fBodyBodyGyroMag.std",-0.321017953894737
"65","1","WALKING","fBodyBodyGyroJerkMag.mean",-0.319308593778947
"66","1","WALKING","fBodyBodyGyroJerkMag.std",-0.381601911789474
"67","1","WALKING_UPSTAIRS","tBodyAcc.mean.X",0.255461689622641
"68","1","WALKING_UPSTAIRS","tBodyAcc.mean.Y",-0.0239531492643396
"69","1","WALKING_UPSTAIRS","tBodyAcc.mean.Z",-0.0973020020943396
"70","1","WALKING_UPSTAIRS","tBodyAcc.std.X",-0.35470802509434
"71","1","WALKING_UPSTAIRS","tBodyAcc.std.Y",-0.00232026501698113
"72","1","WALKING_UPSTAIRS","tBodyAcc.std.Z",-0.0194792388471698
"73","1","WALKING_UPSTAIRS","tGravityAcc.mean.X",0.89335109754717
"74","1","WALKING_UPSTAIRS","tGravityAcc.mean.Y",-0.362153364339623
"75","1","WALKING_UPSTAIRS","tGravityAcc.mean.Z",-0.075402939754717
"76","1","WALKING_UPSTAIRS","tGravityAcc.std.X",-0.956367027924528
"77","1","WALKING_UPSTAIRS","tGravityAcc.std.Y",-0.952849233207547
"78","1","WALKING_UPSTAIRS","tGravityAcc.std.Z",-0.912379410377358
"79","1","WALKING_UPSTAIRS","tBodyAccJerk.mean.X",0.101372729922642
"80","1","WALKING_UPSTAIRS","tBodyAccJerk.mean.Y",0.0194863076188679
"81","1","WALKING_UPSTAIRS","tBodyAccJerk.mean.Z",-0.0455625449113208
"82","1","WALKING_UPSTAIRS","tBodyAccJerk.std.X",-0.446843887735849
"83","1","WALKING_UPSTAIRS","tBodyAccJerk.std.Y",-0.378274426037736
"84","1","WALKING_UPSTAIRS","tBodyAccJerk.std.Z",-0.706593530943396
"85","1","WALKING_UPSTAIRS","tBodyGyro.mean.X",0.050549379754717
"86","1","WALKING_UPSTAIRS","tBodyGyro.mean.Y",-0.166170015088679
"87","1","WALKING_UPSTAIRS","tBodyGyro.mean.Z",0.0583595463981132
"88","1","WALKING_UPSTAIRS","tBodyGyro.std.X",-0.544871104528302
"89","1","WALKING_UPSTAIRS","tBodyGyro.std.Y",0.00410518379811321
"90","1","WALKING_UPSTAIRS","tBodyGyro.std.Z",-0.50716867490566
"91","1","WALKING_UPSTAIRS","tBodyGyroJerk.mean.X",-0.122232768011321
"92","1","WALKING_UPSTAIRS","tBodyGyroJerk.mean.Y",-0.0421485884509434
"93","1","WALKING_UPSTAIRS","tBodyGyroJerk.mean.Z",-0.0407125527654717
"94","1","WALKING_UPSTAIRS","tBodyGyroJerk.std.X",-0.614786508490566
"95","1","WALKING_UPSTAIRS","tBodyGyroJerk.std.Y",-0.601696656226415
"96","1","WALKING_UPSTAIRS","tBodyGyroJerk.std.Z",-0.606332002264151
"97","1","WALKING_UPSTAIRS","tBodyAccMag.mean",-0.129927630735849
"98","1","WALKING_UPSTAIRS","tBodyAccMag.std",-0.324970929245283
"99","1","WALKING_UPSTAIRS","tGravityAccMag.mean",-0.129927630735849
"100","1","WALKING_UPSTAIRS","tGravityAccMag.std",-0.324970929245283
"101","1","WALKING_UPSTAIRS","tBodyAccJerkMag.mean",-0.466503446226415
